
中華電信0717,#genre#
纬来戲劇,http://61.219.170.95:18557/http/192.168.1.9:8081/hls/69/811/ch33.m3u8#http://61.219.170.95:18557/.m3u8#http://61.219.170.95:18557/.m3u8
衛視電影,http://61.219.170.95:18529/.m3u8#http://61.219.170.95:18529/http/192.168.1.9:8081/hls/62/804/ch07.m3u8#http://61.219.170.95:18529/http/192.168.1.9:8081/hls/62/804/ch07.m3u8
東森超視,http://61.219.170.95:18555/.m3u8
年代MUCH,http://61.219.170.95:18558/.m3u8
年代MUCH,http://61.219.170.95:18558/http/192.168.1.9:8081/hls/72/814/ch45.m3u8
momo 綜合,http://61.219.170.95:18576/http/192.168.1.9:8081/hls/76/818/momo_max.m3u8
momo 綜合,http://61.219.170.95:18576/.m3u8#rtmp://59.124.75.138/sat/tv761#rtmp://59.124.75.150/sat/tv761#rtmp://59.124.75.138/sat/tv761#rtmp://59.124.75.150/sat/tv761
momo 綜合,rtmp://59.124.75.138:1935/sat/tv761
momo 綜合,http://61.219.170.95:18576/http/192.168.1.9:8081/hls/76/818/momo_max.m3u8
台灣蕃薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
TVBS欢乐,rtmp://59.124.75.138:1935/sat/tv421
東風衛視,http://61.219.170.95:18560/http/192.168.1.9:8081/hls/68/810/ch31.m3u8
Star World,http://61.219.170.95:18504/http/192.168.1.9:8081/hls/61/803/ch02.m3u8
大愛電視,http://61.219.170.95:18567/http/192.168.1.9:8081/hls/73/815/ch52.m3u8
大愛,http://61.219.170.95:18567/.m3u8#http://61.219.170.95:18567/http/192.168.1.9:8081/hls/73/815/ch52.m3u8#http://61.219.170.95:18567/http/192.168.1.9:8081/hls/73/815/ch52.m3u8
中台灣生活网,http://58.99.33.16:1935/liveedge17/live_852_3.stream/chunklist.m3u8#http://58.99.33.16:1935/liveedge17/live_020_3.stream/chunklist.m3u8#http://58.99.33.16:1935/liveedge17/live_020_3.stream/chunklist.m3u8
亞洲旅遊,http://61.219.170.95:18568/.m3u8#http://61.219.170.95:18568/http/192.168.1.9:8081/hls/76/818/ch61.m3u8#http://61.219.170.95:18568/http/192.168.1.9:8081/hls/76/818/ch61.m3u8
衛視電影FHD,http://61.219.170.95:18529/http/192.168.1.9:8081/hls/62/804/ch07.m3u8
人間衛視,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8#http://61.219.170.95:18561/.m3u8#http://61.219.170.95:18561/http/192.168.1.9:8081/hls/69/811/ch36.m3u8#http://61.219.170.95:18561/.m3u8#http://61.219.170.95:18561/http/192.168.1.9:8081/hls/69/811/ch36.m3u8
Star World,http://61.219.170.95:18504/http/192.168.1.9:8081/hls/61/803/ch02.m3u8#http://61.219.170.95:18504/.m3u8#http://61.219.170.95:18504/.m3u8
衛視中文FHD,http://61.219.170.95:18522/http/192.168.1.9:8081/hls/62/804/ch05.m3u8
ANIMAX 卡通動畫頻道,http://61.219.170.95:18550/http/192.168.1.9:8081/hls/70/812/ch39.m3u8
亞洲旅遊,http://61.219.170.95:18568/http/192.168.1.9:8081/hls/76/818/ch61.m3u8
人間衛視,http://61.219.170.95:18561/http/192.168.1.9:8081/hls/69/811/ch36.m3u8
衛視中文,http://61.219.170.95:18522/.m3u8#http://61.219.170.95:18522/http/192.168.1.9:8081/hls/62/804/ch05.m3u8#http://61.219.170.95:18522/http/192.168.1.9:8081/hls/62/804/ch05.m3u8
AXN,http://61.219.170.95:18548/http/192.168.1.9:8081/hls/71/813/ch43.m3u8
AXN,http://61.219.170.95:18548/http/192.168.1.9:8081/hls/71/813/ch43.m3u8#http://61.219.170.95:18548/.m3u8#http://61.219.170.95:18548/.m3u8
CNBC,http://61.219.170.95:18551/.m3u8
ELEVEN1,rtmp://59.124.75.138:1935/sat/tv731
ELEVEN2,rtmp://59.124.75.138:1935/sat/tv741
NHK世界FHD,http://61.219.170.95:18525/http/192.168.1.9:8081/hls/62/804/ch06.m3u8
亚洲旅游,http://59.125.101.187:8744/http/192.168.77.24:8081/hls/76/818/ch61.m3u8?
國家地理台灣,http://50.7.220.74:8278/natgeohd_twn/playlist.m3u8?tid=MB5B4841803948418039&ct=18393&tsum=a2343b2c061fc9de3fa7857e832d9625
華語電視,http://38.64.72.148:80/hls/modn/list/4002/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4003/chunklist0.m3u8
原住民族,http://streamipcf.akamaized.net/live/_definst_/live_720/chunklist_b1500.m3u8


港台源0621,#genre#
寰宇新聞,http://for40255.sytes.net:8099/tv/iptv/live.php?id=hyxw#http://60.251.59.180:8547/http/60.251.39.91:8081/hls/76/818/ch62.m3u8
寰宇新聞,http://60.251.59.180:8547/http/60.251.39.91:8081/hls/76/818/ch62.m3u8
鏡新聞,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv075&nid=268
三立新聞,http://60.251.59.180:8506/http/60.251.39.91:8081/hls/65/807/ch18.m3u8
三立新聞,http://59.125.101.187:10756/http/192.168.77.24:8081/hls/65/807/ch18.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d#http://60.251.59.180:8506/http/60.251.39.91:8081/hls/65/807/ch18.m3u8
三立iNEWS,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live089&nid=229#http://for40255.sytes.net:8099/tv/iptv/live.php?id=slxwinews
三立iNEWS,http://for40255.sytes.net:8099/tv/iptv/live.php?id=slxw
TVBS新聞,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live072&nid=129#http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8#http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live072&nid=129
TVBS新聞,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8#http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
壹新聞,http://stream.nexttv.com.tw/n001/hd/live.m3u8#http://stream.nexttv.com.tw/n001/playlist.m3u8#http://stream.nexttv.com.tw/n001/hd/live.m3u8
壹新聞,http://220.134.196.147:9570/http/116.50.42.18:8081/hls/66/808/ch24.m3u8
壹新聞,http://60.251.59.180:8501/http/60.251.39.91:8081/hls/66/808/ch24.m3u8
壹新聞,http://220.134.196.147:9570/http/116.50.42.18:8081/hls/66/808/ch24.m3u8
東森新聞,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live114&nid=234#http://60.251.59.180:8503/http/60.251.39.91:8081/hls/72/814/ch48.m3u8
東森LIVE,http://for40255.sytes.net:8099/tv/iptv/live.php?id=dsxw
東森LIVE,http://50.7.220.74:8278/ettvnews/playlist.m3u8?tid=m208c21bf386611408694&ct=17874&tsum=d1b4de373c886cd8015974fa8c5d6d12
東森美洲,http://38.64.72.148:80/hls/modn/list/2026/chunklist0.m3u8
民視新聞,http://for40255.sytes.net:8099/tv/iptv/live.php?id=msxw
民視新聞,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
中天新聞,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv009&nid=30#http://for40255.sytes.net:8099/tv/iptv/live.php?id=ztxw
中天新聞,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv009&nid=30
中天新聞,http://60.251.59.180:8504/http/60.251.39.91:8081/hls/78/80/ch63max.m3u8#http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-
4gtv009&nid=30#http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv009&nid=30#http://for40255.sytes.net:8099/tv/iptv/live.php?id=ztxw#http://60.251.59.180:8504/http/60.251.39.91:8081/hls/78/80/ch63max.m3u8
華視新聞,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv052&nid=34
中視新聞,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv074&nid=33#http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv074&nid=33
民視新聞,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=litv-ftv13&nid=31#http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8#http://for40255.sytes.net:8099/tv/iptv/live.php?id=msxw#http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8#http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=litv-ftv13&nid=31#http://220.134.196.147:9573/http/116.50.42.18:8081/hls/73/815/ch51.m3u8#http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=litv-ftv13&nid=31#http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
民視新聞,http://220.134.196.147:9573/http/116.50.42.18:8081/hls/73/815/ch51.m3u8
台視新聞,http://for40255.sytes.net:8099/tv/iptv/live.php?id=tsxw#http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8#http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
台視新聞,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
台視新聞,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
民視,http://50.7.220.74:8278/ftvhd_taiwan/playlist.m3u8?tid=15141291&ct=17990&tsum=ab93fcdf581cc3f483e1ceede13312ce#http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv002&nid=3#http://seb.sason.top/ptv/ftv.php?id=ms#http://220.134.196.147:9574/http/116.50.42.18:8081/hls/73/815/ch49.m3u8#http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv002&nid=3
民視,http://seb.sason.top/ptv/ftv.php?id=ms
民視第一台,http://seb.sason.top/ptv/ftv.php?id=dy
民視台灣台,http://seb.sason.top/ptv/ftv.php?id=tw
民視綜藝台,http://seb.sason.top/ptv/ftv.php?id=zy
民視影劇,http://seb.sason.top/ptv/ftv.php?id=yj
民視旅遊,http://seb.sason.top/ptv/ftv.php?id=ly
民視台灣,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv001&nid=2
民視影劇,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=litv-ftv09&nid=24
民視新聞,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=litv-ftv13&nid=31
民視旅遊,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=litv-ftv07&nid=61
民視第一,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv003&nid=1
民視綜藝,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv004&nid=16
中視,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv040&nid=4#http://220.134.196.147:9573/http/116.50.42.18:8081/hls/72/814/ch47.m3u8
中視經典,http://50.7.220.74:8278/zhongshi_twn/playlist.m3u8?tid=mffe9aaf8765f&ct=18335&tsum=bcdd7a2ce4a5498b1449cb26a01150c0
中視經典,http://50.7.220.74:8278/zhongshi_twn/playlist.m3u8?tid=14379667&ct=17988&tsum=de63d02f44741580b5070077d1949841
台視,http://50.7.220.74:8278/ttv_taiwan/playlist.m3u8?tid=mdea1ba75c9e516139101&ct=17874&tsum=95f1742d36f959fe6e241587a4f8e970#http://60.251.59.180:8501/http/61.221.81.94:8088/hls/72/814/ch46.m3u8#http://220.134.196.147:9572/http/116.50.42.18:8081/hls/72/814/ch46.m3u8#http://60.251.59.180:8501/http/61.221.81.94:8088/hls/72/814/ch46.m3u8
華視,http://50.7.220.74:8278/ctshd_twn/playlist.m3u8?tid=m760743cf1f5e&ct=18335&tsum=9b0d2efb292253075aa4ec25cc439b81#http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv041&nid=6#http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv041&nid=6
公視,http://50.7.220.74:8278/ctv_taiwan/playlist.m3u8?tid=13765524&ct=17990&tsum=03eb77c1c186944b97737f14e95076c0
公視戲劇,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv042&nid=7
TVBS-G,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8
中天亞洲,http://50.7.220.74:8278/ctiasia_twn/playlist.m3u8?tid=m02000000000018570617&ct=17982&tsum=41a23593234363b088028585850ccf48
中天娛樂,http://50.7.220.74:8278/ctient/playlist.m3u8?tid=m6780c60bd34a13540795&ct=17874&tsum=06089e289a460b0685447b7656d550e3#http://60.251.59.180:8527/http/60.251.39.91:8081/hls/67/809/ch26.m3u8
三立戲劇,http://50.7.220.74:8278/sanlixiju_twn/playlist.m3u8?tid=MA8A4626080046260800&ct=19053&tsum=205a453781925ebfb8996c1db8d4ed59
三立綜合,http://50.7.220.74:8278/sanlizhonghe/playlist.m3u8?tid=m3362167a08a014596868&ct=17874&tsum=4472a7c943b67bf52fe5e836ca9f3b6b
三立綜合,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live207&nid=169
三立台灣,http://50.7.220.74:8278/sanlitaiwan/playlist.m3u8?tid=m92ccadc4dc3718157816&ct=17874&tsum=3570a8198ca0fb7ebb803807e38b33fb#http://50.7.220.74:8278/sanlitaiwan/playlist.m3u8?tid=m92ccadc4dc3718157816&ct=17874&tsum=3570a8198ca0fb7ebb803807e38b33fb
年代MUCH,http://59.125.101.187:10775/http/192.168.77.24:8081/hls/64/806/ch15.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d#http://59.125.101.187:10775/playlist.m3u8#http://59.125.101.187:10775/playlist.m3u8
東森綜合,http://60.251.59.180:8528/http/60.251.39.91:8081/hls/63/805/ch12.m3u8#http://50.7.220.74:8278/ettvzhonghe/playlist.m3u8?tid=m65c4e525f24617101171&ct=17874&tsum=663db593cfeefc92ce4b5d7461988f3f#http://59.125.101.187:10771/http/192.168.77.24:8081/hls/63/805/ch12.m3u8
東森綜合,http://50.7.220.74:8278/ettvzhonghe/playlist.m3u8?tid=m65c4e525f24617101171&ct=17874&tsum=663db593cfeefc92ce4b5d7461988f3f#http://59.125.101.187:10771/http/192.168.77.24:8081/hls/63/805/ch12.m3u8
東森戲劇,http://60.251.59.180:8530/http/60.251.39.91:8081/hls/64/806/ch13.m3u8
東森戲劇,http://50.7.220.74:8278/ettvdrama/playlist.m3u8?tid=m921dcb630ebe17354109&ct=17874&tsum=695370160923af940d1a90d44c262acc
龍華戲劇,http://59.125.98.83:8534/playlist.m3u8#http://59.125.98.83:8534/http/192.168.1.9:8066/hls/210/10010/cstv10.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d#http://59.125.98.83:8534/http/192.168.1.9:8066/hls/210/10010/cstv10.m3u8
龍華戲劇,http://60.251.59.180:8536/http/60.251.39.91:8066/hls/210/10010/cstv10.m3u8
龍華偶像,http://60.251.59.180:8536/http/60.251.39.91:8066/hls/210/10012/cstv12.m3u8
龍華偶像,http://59.125.98.83:8536/http/192.168.1.9:8066/hls/210/10012/cstv12.m3u8#http://59.125.101.187:10762/http/192.168.77.24:8066/hls/210/10012/cstv12.m3u8#http://59.125.98.83:8536/http/192.168.1.9:8066/hls/210/10012/cstv12.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
龍華日韓,http://59.125.98.83:8535/http/192.168.1.9:8066/hls/210/10011/cstv11.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d#http://59.125.101.187:10763/http/192.168.77.24:8066/hls/210/10011/cstv11.m3u8#http://59.125.98.83:8535/playlist.m3u8#http://59.125.98.83:8535/http/192.168.1.9:8066/hls/210/10011/cstv11.m3u8
龍華卡通,http://60.251.59.180:8517/http/60.251.39.91:8066/hls/210/10013/cstv13.m3u8
龍華經典,http://50.7.220.74:8278/lunghuawestern_twn/playlist.m3u8?tid=m8fe1f2649ecd12830420&ct=17874&tsum=a6674ed93a8ec4ea4705c721b752d4db
龍華電影,http://60.251.59.180:8538/http/60.251.39.91:8066/hls/210/10014/cstv14.m3u8#http://220.134.196.147:9558/http/116.50.42.18:8066/hls/210/10014/cstv14.m3u8
龍華電影,http://220.134.196.147:9558/http/116.50.42.18:8066/hls/210/10014/cstv14.m3u8
龍華電影,http://60.251.59.180:8538/http/60.251.39.91:8066/hls/210/10014/cstv14.m3u8
八大戲劇,http://50.7.220.74:8278/badadrama/playlist.m3u8?tid=m6e4372d7fc8217605152&ct=17874&tsum=d9af89e299560350336e22c1418e6b54#http://59.125.101.187:10771/http/192.168.77.24:8081/hls/69/811/ch34.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d#http://59.125.101.187:10771/http/192.168.77.24:8081/hls/66/808/ch23.m3u8
八大戲劇,http://60.251.59.180:8516/http/60.251.39.91:8081/hls/66/808/ch23.m3u8
八大綜合,http://50.7.220.74:8278/badazhonghe/playlist.m3u8?tid=mfb8d64b6276514171054&ct=17874&tsum=a87466c997089ea7dce98cd17301667d
八大綜合,http://60.251.59.180:8529/http/60.251.39.91:8081/hls/66/808/ch21.m3u8
八大第一,http://60.251.59.180:8536/http/60.251.39.91:8081/hls/66/808/ch22.m3u8
八大第一,http://50.7.220.74:8278/badafirst/playlist.m3u8?tid=mb8efded78b4e12042621&ct=17874&tsum=028ad819cd9a0f949a043d652fa3e164
八大娛樂,http://50.7.220.74:8278/badaentertain/playlist.m3u8?tid=m46003aa2ac2617525877&ct=17874&tsum=d31212ff6fbefd5bd856f80d16bb3f27
緯來綜合,http://59.125.101.187:10770/http/192.168.77.24:8081/hls/68/810/ch32.m3u8
緯來綜合,http://60.251.59.180:8529/http/60.251.39.91:8081/hls/68/810/ch32.m3u8
緯來日本,http://60.251.59.180:8537/http/60.251.39.91:8081/hls/69/811/ch34.m3u8
